frame,track_id,class_id,x1,y1,x2,y2,cx,cy,pitch_x,pitch_y,team_id_x,team_id_y,team_id
15,3,2,204.08664,427.56967,209.30191,444.5001,206.69427,444.5001,46.277554,45.382084,,0.0,0.0
15,10,0,295.06207,443.91968,300.05014,459.35608,297.5561,459.35608,22.038542,68.41569,0.0,,
15,2,0,254.9776,472.11908,259.67535,485.40826,257.32648,485.40826,34.82012,107.41756,1.0,,
15,6,2,233.71297,441.3632,239.6178,460.81686,236.66537,460.81686,38.679497,71.7601,,0.0,0.0
15,5,2,265.568,452.9875,270.6019,470.4475,268.08496,470.4475,30.90893,85.8204,,0.0,0.0
15,9,2,220.56808,465.8887,226.86736,487.49863,223.71771,487.49863,43.585854,111.14626,,0.0,0.0
16,8,0,347.05054,483.14267,352.83255,495.80338,349.94153,495.80338,12.874745,118.84993,1.0,,
16,3,2,204.20926,427.85086,209.46762,444.7792,206.83844,444.7792,46.248108,45.861504,,0.0,0.0
16,1,0,318.5877,462.04782,322.8948,476.27896,320.74127,476.27896,17.836578,93.15643,1.0,,
16,10,0,295.30698,444.12213,300.22275,459.45297,297.76486,459.45297,21.992939,68.563126,0.0,,
16,5,2,265.5805,452.15775,270.84955,470.21436,268.21503,470.21436,30.85569,85.47232,,0.0,0.0
16,2,0,254.98456,472.05673,259.9505,485.74023,257.46753,485.74023,34.806744,107.87027,1.0,,
16,6,2,233.73735,441.51984,239.64201,460.78812,236.68968,460.78812,38.671005,71.7146,,0.0,0.0
17,3,2,204.41978,427.7309,209.65965,444.36133,207.03972,444.36133,46.170536,45.138485,,0.0,0.0
17,8,0,347.3783,483.06064,353.24088,495.5006,350.30957,495.5006,12.751048,118.45052,1.0,,
17,10,0,295.87677,444.27338,300.68954,459.1864,298.28314,459.1864,21.825884,68.13886,0.0,,
17,1,0,318.62442,461.96,323.16882,476.21634,320.8966,476.21634,17.790157,93.063965,1.0,,
17,11,2,191.18764,444.96085,197.13924,461.30383,194.16344,461.30383,50.50358,73.30051,,0.0,0.0
17,9,3,222.81403,466.9234,228.85442,486.9406,225.83423,486.9406,43.011917,110.32599,,,
17,2,0,254.9908,472.16116,260.3538,485.39392,257.6723,485.39392,34.73066,107.38915,1.0,,
17,5,2,265.5976,451.90677,271.20282,470.14465,268.4002,470.14465,30.8011,85.365166,,0.0,0.0
17,6,2,233.74266,441.82355,239.73293,460.6162,236.7378,460.6162,38.646946,71.444145,,0.0,0.0
18,3,2,204.41841,427.73273,209.6616,444.36063,207.04001,444.36063,46.17042,45.137268,,0.0,0.0
18,8,0,347.3787,483.05646,353.2403,495.50082,350.3095,495.50082,12.751088,118.4508,1.0,,
18,10,0,295.8775,444.27435,300.68954,459.18542,298.2835,459.18542,21.825682,68.13733,0.0,,
18,1,0,318.6248,461.95923,323.16818,476.2145,320.89648,476.2145,17.789984,93.061356,1.0,,
18,11,2,191.18771,444.95895,197.14426,461.30063,194.16599,461.30063,50.50276,73.2954,,0.0,0.0
18,9,3,222.74643,467.13382,228.8442,486.91953,225.79532,486.91953,43.02097,110.298035,,,
18,2,0,254.99095,472.1717,260.35242,485.38306,257.6717,485.38306,34.730072,107.37422,1.0,,
18,5,2,265.59775,451.92963,271.20013,470.1497,268.39893,470.1497,30.801847,85.37266,,0.0,0.0
18,6,2,233.74335,441.80606,239.7319,460.65332,236.73763,460.65332,38.64933,71.502365,,0.0,0.0
19,3,2,204.49373,427.62195,209.69798,444.05457,207.09586,444.05457,46.14023,44.607765,,0.0,0.0
19,1,0,318.66876,461.82108,323.39844,476.38165,321.0336,476.38165,17.77382,93.29602,1.0,,
19,9,3,223.6096,467.06866,229.6954,486.46637,226.6525,486.46637,42.777134,109.65292,,,
19,8,0,347.5863,482.57385,353.36215,495.27713,350.47424,495.27713,12.685279,118.15821,1.0,,
19,10,0,295.55515,443.287,300.78918,459.11685,298.17218,459.11685,21.848183,68.032234,0.0,,
19,11,2,191.21664,446.0997,197.46005,461.49237,194.33835,461.49237,50.460545,73.59461,,0.0,0.0
19,5,2,265.60968,451.524,271.50348,470.266,268.55658,470.266,30.769642,85.54177,,0.0,0.0
